Image name,SKU name,Name,Inventory,Price,Category,Colour,Description
BR01.jpg.jpg,BR01,Teal Cool Patch,1,299,Brooch,Teal/Mint Green and Black with Gold Outline,"This is a decorative fabric patch or appliqué featuring the word 'COOL' rendered in mint/teal sequins outlined with black seed beads and gold metallic stitching on a mesh/tulle base. The ruler confirms the piece measures approximately 4–5cm across, placing it in the medium-to-large range. It appears to be a sew-on or iron-on embellishment intended for garments, bags, or accessories rather than a standalone jewelry piece, making it more accurately classified as a craft/fashion embellishment."
BR02.jpg.jpg,BR02,Mismatched Bead Set,1,299,Brooch,"Teal, Pink, Blue and White","This is a mismatched earring set comprising three beaded components: a rectangular teal/green seed bead panel with white lettering or abstract pattern, a large teardrop-shaped pink seed bead piece with blue and white motifs, and a small circular stud with a blue centre. All pieces are handcrafted using intricate seed bead embroidery on a fabric or leather backing, connected with gold-tone jump rings. Suitable for casual, boho, or festival wear. The ruler indicates the full set spans approximately 7cm in total width."
BR03.jpg.jpg,BR03,Spiral Bloom Brooch,1,299,Brooch,"Black, Pink (Magenta), and Blue","This is a handcrafted seed bead brooch featuring a spiral floral motif executed in magenta pink and sky blue beads outlined with black seed beads, consistent with Native American or Indigenous beadwork traditions. The piece measures approximately 4–5cm across based on the ruler visible in the image, placing it at the upper end of medium to large sizing. The tight, even bead placement suggests skilled craftwork, making it suitable as a statement accessory for cultural wear, casual fashion, or collector display."
BR04.jpg.jpg,BR04,Evil Eye Burst,1,299,Brooch,Multicolour with Gold and White Border,"A handcrafted beaded brooch featuring a central evil eye motif rendered in concentric rings of black, turquoise, and white seed beads, surrounded by radiating gold bugle beads. The outer field is filled with densely packed multicolour seed beads and edged with a clean white bead border. The piece measures approximately 4–5cm in diameter based on the ruler visible in the image, making it a vibrant statement accessory suitable for casual, boho, or festive styling on bags, jackets, or scarves."
BR05.jpg.jpg,BR05,Nazar Crystal Brooch,1,299,Brooch,"Blue, White, Black and Gold","A circular evil eye brooch crafted with concentric rings of seed beads in black (pupil), turquoise blue (iris), and white, bordered by two rows of faceted rhinestones set in a gold-plated base. The beadwork is neatly hand-stitched with good symmetry, giving it a tactile, artisanal quality. Suitable as a casual accessory, gift item, or talisman-style adornment on bags, scarves, or clothing."
BR06.jpg.jpg,BR06,LOVE Star Brooch,1,299,Brooch,"Pink, Rose Gold, and Champagne","This is a heavily embellished iron-on or sew-on patch/brooch spelling 'LOVE' with a shooting star above the 'L'. Each letter features a distinct embellishment technique — the 'L' uses rhinestone crystal stones and rose gold bugle beads, the 'O' is filled with concentric circles of hot pink seed beads, the 'V' uses ombre pink seed beads, and the 'E' is covered in flat pink sequins, all outlined in rose gold bugle beads. The piece measures approximately 5–6cm wide based on the ruler visible in the image. Ideal as a decorative patch for bags, jackets, or denim, or can be worn as a statement brooch for casual and festive occasions."
BR07.jpg.jpg,BR07,Butterfly Brooch,1,299,Brooch,"Yellow, Black, and Orange","A highly detailed butterfly brooch crafted with dense silk thread embroidery in vibrant yellow and orange tones, accented with black seed bead striping mimicking natural wing patterns. The body features two round pavé rhinestones and a faceted crystal drop, with bugle beads forming the antennae. The silver-plated wire edging gives a neat, structured finish — suitable as a statement accessory for festive, bohemian, or fashion-forward occasions. The ruler indicates a wingspan of approximately 5cm."
BR08.jpg.jpg,BR08,Camera Flash Brooch,1,299,Brooch,"Black, Pink (Magenta), Silver","This is a handcrafted beaded brooch designed in the shape of a compact camera, featuring densely packed black seed beads as the base, metallic magenta/hot-pink bugle beads forming the flash and grip areas, and rhinestone chain detailing outlining the lens and body edges. The lens is highlighted by a large faceted crystal centre stone surrounded by a circular rhinestone halo, giving it a glamorous, fashion-forward appeal. The ruler indicates the piece measures approximately 3.5–4cm across, making it suitable as a quirky statement accessory on jackets, bags, or scarves for casual and creative fashion occasions."
BR09.jpg.jpg,BR09,Football Bead Brooch,1,299,Brooch,Black and Silver,"This is a handcrafted beaded brooch designed in the shape of a soccer/football ball, meticulously constructed using tiny black and silver/white seed and bugle beads arranged in the classic pentagon-hexagon football panel pattern. The beadwork is dense and appears to be done on a fabric or resin base. Suitable as a novelty or sports-themed accessory, a collector's piece, or a fun lapel pin for football enthusiasts. The ruler in the image confirms the diameter is approximately 4–4.5cm."
BR10.jpg.jpg,BR10,OMG! Bubble Brooch,1,299,Brooch,"Black, White, and Yellow","A fun, handcrafted seed bead brooch shaped like a comic-style speech bubble with 'OMG!' spelled out in yellow beads on a black background, framed by white and grey beaded rows. The piece measures approximately 4–4.5cm wide based on the ruler visible in the image. It is a novelty/fashion accessory suited for casual wear, pop art styling, or gifting, showcasing detailed bead embroidery craftsmanship."
